"Data_Zone","Intermediate_Zone","Council_area","Total_population","Working_age_population","Income_rate","Income_count","Employment_rate","Employment_count","CIF","ALCOHOL","DRUG","SMR","DEPRESS","LBWT","EMERG","Attendance","Attainment","no_qualifications","not_participating","University","drive_petrol","drive_GP","drive_post","drive_primary","drive_retail","drive_secondary","PT_GP","PT_post","PT_retail","Broadband","crime_count","crime_rate","overcrowded_count","nocentralheat_count","overcrowded_rate","nocentralheat_rate"
"S01010499","Drumry East","Glasgow City",738,442,0.42,313,0.31,135,240,451.3631388,555.4954474,174.8973297,0.326116374,0.029411765,167.9601789,0.65031,4.6363636364,276.4925327,0.037037037,0.021583,3.582207944,1.489436332,1.568484229,2.009661017,2.098916472,2.957989418,4.127850467,5.447809579,4.807056075,0.008403361,110.521097278837,1497.57584388668,228,39,0.28358209,0.048507463
"S01010329","Possil Park","Glasgow City",592,365,0.18,104,0.14,49,130,84.9126815,106.5536457,126.7084186,0.223333333,0.107142857,107.8087686,0.84694,5.2307692308,206.117397,0.0625,0.021277,3.221042757,4.419463351,2.580257417,4.463950617,3.027993019,5.778580247,11.43648342,7.135061082,7.668123909,0,12.0568469758731,203.662955673532,103,4,0.179755672,0.006980803
"S01009861","Ibrox","Glasgow City",1266,917,0.28,350,0.21,194,185,471.4283583,734.3466879,169.2932451,0.234111022,0.118644068,148.9465287,0.67339,5.0294117647,203.279728,0.125,0.007547,2.664975068,2.322509066,2.918490481,2.016923963,2.756570716,6.033447293,6.993782865,7.272679057,7.047402539,0.012718601,90.4263523190481,714.268185774472,293,56,0.286132813,0.0546875
"S01010362","Wyndford","Glasgow City",831,645,0.45,372,0.44,283,255,432.5388517,447.5186947,113.2318993,0.324427481,0.032258065,161.8642596,0.68421,5,204.0817414,0.090909091,0.018349,4.774090038,1.790015964,1.79304917,4.927888889,3.05695083,3.722087379,6.804195402,4.941998723,6.860083014,0,128.606367742646,1547.60972012811,250,77,0.319284802,0.098339719
"S01010014","Mount Florida","Glasgow City",1052,762,0.13,133,0.09,65,100,82.49984989,132.1131098,78.45103834,0.163869694,0.056603774,78.02990007,0.8306,5.7142857143,90.19927941,0.051948052,0.185714,2.907784148,1.4830334,2.627046361,2.081551155,0.918743769,3.568475177,4.339085244,7.338544367,3.598526919,0,33.156329183651,315.174231783755,190,63,0.189431705,0.062811565
"S01010207","Petershill","Glasgow City",288,165,0.49,141,0.4,65,275,345.6169431,571.2667015,92.60948661,0.319218241,0.052631579,199.1814226,0.74,5.125,267.4202492,0.076190476,0.076923,1.640430591,2.732573907,2.839572622,2.205170455,3.875684447,4.269115646,6.142442159,11.29391388,11.58525707,0,36.1705409276193,1255.92155998678,374,37,0.480719794,0.047557841
"S01009791","Crookston North","Glasgow City",789,536,0.29,230,0.19,101,200,217.2950416,359.8061576,137.483403,0.237851662,0.076923077,131.1612391,0.71111,5.025,208.0729087,0.080291971,0.055118,2.545865964,2.161457078,1.613957078,2.01441048,5.418693524,3.982627551,6.066046687,4.791777108,16.13315889,0.008474576,30.1421174396827,382.029371859097,142,8,0.214826021,0.012102874
"S01010435","Scotstoun South and West","Glasgow City",645,418,0.21,135,0.11,47,175,109.9180564,72.92863299,102.5016213,0.25682183,0.071428571,157.3066999,0.78481,5.3846153846,146.4768245,0.035714286,0.079545,4.102097792,0.960189274,1.491545741,3.0075,1.805713722,5.407105263,3.368856467,3.443481861,7.643288644,0,39.1847526715875,607.515545295931,74,8,0.116719243,0.012618297
"S01009789","Crookston North","Glasgow City",867,562,0.24,205,0.17,95,185,191.6477512,337.2965885,127.768868,0.286046512,0,110.8006102,0.76098,5.1935483871,185.6305372,0.064285714,0.08,1.955287388,1.757167969,1.820708705,2.786847826,4.832466518,2.880838926,5.596135603,6.864715402,13.74871373,0.23325062,60.2842348793654,695.31989480237,151,16,0.168526786,0.017857143
"S01009842","Govan and Linthouse","Glasgow City",777,556,0.31,240,0.25,137,245,411.6039407,392.7777786,183.2125599,0.238348868,0.040816327,147.3659931,0.6763,5.347826087,185.6936626,0.105263158,0.027933,1.242172131,1.820260805,0.66790611,2.724311224,3.038517139,3.666511628,6.767634128,2.267373323,8.38454918,0,71.3363446072491,918.099673194969,131,23,0.197885196,0.034743202
"S01010189","Robroyston and Millerston","Glasgow City",1033,747,0.04,45,0.03,20,50,15.80698126,12.47179259,46.54050082,0.129434324,0.035714286,90.95610849,0.86486,5.9574468085,89.67520575,0.006802721,0.10559,2.740061475,3.389920594,3.410776127,3.050410714,3.645622439,4.809575972,12.62900615,13.30443648,10.81926742,0,17.0805332158202,165.348821063119,60,0,0.06147541,0
"S01010448","Knightswood West","Glasgow City",855,597,0.15,129,0.1,61,145,91.79961116,17.65344371,92.7519339,0.211538462,0.09375,104.2814159,0.80476,5.325,128.0513759,0.028776978,0.042169,3.294557625,1.480535506,1.231653085,1.5946875,3.974522701,5.998081761,5.760157159,4.24919674,10.24979045,0.02972973,20.0947449597885,235.026256839631,106,11,0.123399302,0.012805588
"S01010044","Bridgeton","Glasgow City",1183,828,0.25,291,0.15,126,205,250.4044491,155.879705,150.1530729,0.235096558,0.05,136.1439265,0.75463,5,164.1121439,0.014084507,0.038168,2.243333333,1.493201407,1.139025945,1.615839695,4.083430079,4.458340249,4.141926121,3.160263852,9.048474055,0,37.1752781756087,314.245800301003,228,63,0.207272727,0.057272727
"S01009900","Battlefield","Glasgow City",842,695,0.07,58,0.04,29,60,90.08072814,105.1004081,48.98297179,0.151121606,0.024390244,66.86516482,0.86076,5.4,41.85832682,0.034482759,0.044444,4.148965621,1.442506031,1.235636309,2.076837209,3.203564536,3.231381579,4.318896261,3.867864897,9.249237033,0.043392505,12.0568469758731,143.192956958113,115,37,0.138721351,0.044632087
"S01010131","Greenfield","Glasgow City",922,550,0.08,70,0.04,23,95,29.23998052,0,146.5906388,0.243617021,0.090909091,106.2524894,0.83152,6.0277777778,112.8810698,0.014492754,0.155556,1.227461499,1.84236653,2.777802875,2.247226277,3.86448922,3.974603175,4.80612423,8.411280801,9.633552361,0,9.04263523190481,98.0763040336748,63,11,0.06938326,0.012114537
"S01009933","Pollokshaws","Glasgow City",932,690,0.29,266,0.22,152,175,324.4171707,218.138696,126.3190545,0.253151261,0,115.267826,0.8607,5.5882352941,121.0068138,0.025,0.04878,1.589793729,1.278688119,1.994405941,2.279221698,3.11480473,4.655545455,5.50129813,7.250561056,9.325654565,0.012797075,44.2084389115346,474.339473299728,237,42,0.260726073,0.04620462
"S01009806","Cardonald South and East","Glasgow City",869,443,0.22,188,0.17,73,170,340.7063323,89.46099013,136.0047279,0.308474576,0.08,123.5429336,0.84049,5.0769230769,130.1867819,0.038961039,0.072727,2.869913984,1.797183685,2.044672586,2.587631579,2.705288568,4.094176955,4.964683685,7.513221421,8.162993896,0.003584229,102.483199294921,1179.32335207044,154,25,0.185990338,0.030193237
"S01010441","Yoker South","Glasgow City",965,785,0.1,98,0.07,57,85,75.46012265,114.6115986,106.5699985,0.186421174,0.037037037,86.34782717,0.81579,5.4166666667,87.11714065,0.043478261,0.078947,1.544862708,0.972104087,3.578955939,2.744383562,5.185763091,8.010159236,2.278301405,6.465312899,11.15108557,0,28.1326429437039,291.529978691232,147,16,0.187739464,0.020434227
"S01009994","Kingspark South","Glasgow City",645,429,0.09,60,0.06,27,80,79.8997172,65.55461409,78.59786586,0.178736518,0,79.30430537,0.79412,5.6428571429,107.7329085,0.028301887,0.078431,1.826555172,2.408455172,2.165472414,1.626306533,2.310096552,3.376086957,9.191986207,7.706737931,9.264637931,0,10.0473724798942,155.773216742546,119,14,0.164137931,0.019310345
"S01009862","Ibrox East and Cessnock","Glasgow City",1126,829,0.28,317,0.22,184,200,397.9821709,558.4593416,215.2464182,0.29972752,0.01754386,163.3018321,0.78238,4.9583333333,204.2761943,0.079207921,0.056738,2.517914788,1.428476105,1.984860234,2.10075419,1.834413886,6.466530612,4.61878945,6.446357078,6.188746619,0.113764045,121.57320700672,1079.69100361208,343,54,0.34061569,0.053624628
"S01009892","Govanhill West","Glasgow City",789,598,0.31,246,0.23,137,210,225.7066345,362.5295572,144.0603701,0.263990268,0.075471698,136.3253393,0.71333,5.6875,188.8012564,0.091954023,0.061856,1.599321608,1.224428392,1.540175879,1.629111111,2.687493719,3.023125,4.867735553,5.462072864,7.733501884,0,43.2037016635452,547.575432998038,296,37,0.37900128,0.04737516
"S01009843","Govan and Linthouse","Glasgow City",740,515,0.42,310,0.3,156,285,393.7914692,669.1915867,226.8510971,0.275,0.111111111,172.7385038,0.66116,4.85,216.0507619,0.092436975,0.064516,2.376703125,2.105109375,1.427164063,2.951412556,2.702085938,4.801349693,6.662257813,5.863234375,8.694851563,0.019911504,114.540046270794,1547.83846311884,155,5,0.2421875,0.0078125
"S01010421","Victoria Park","Glasgow City",874,554,0.04,37,0.04,22,50,66.83869304,53.42398573,57.89673898,0.143189756,0.03030303,67.08725695,0.95439,6.4594594595,27.99785306,0.007042254,0.212963,2.683214286,2.960582115,2.96893982,3.279135021,4.805244657,2.266816239,10.21948256,10.79622891,13.11887795,0,28.1326429437039,321.883786541234,43,16,0.048752834,0.01814059
"S01009991","Castlemilk","Glasgow City",780,539,0.14,113,0.09,47,115,60.04713387,35.865423,129.4971482,0.159456119,0,87.19660263,0.69652,5.3529411765,119.3146866,0.020408163,0.041379,1.353965625,2.2980125,2.15131875,1.974232456,2.299390625,3.867153285,7.7993875,7.341515625,9.224528125,0,9.04263523190481,115.931220921857,153,31,0.19125,0.03875
"S01009770","Darnley West","Glasgow City",664,478,0.08,50,0.06,27,90,59.08287929,0,79.5546443,0.177514793,0.133333333,93.89800393,0.7963,6.1666666667,115.8035821,0.006849315,0.119718,2.282640647,4.753291139,3.974866385,3.082884615,2.138966245,7.076388889,16.28119198,13.15451477,8.182243319,0.003891051,7.03316073592597,105.921095420572,117,3,0.164556962,0.004219409
"S01010201","Barmulloch","Glasgow City",640,391,0.14,88,0.1,39,145,48.24715387,47.64263771,91.56810322,0.224299065,0,130.3569906,0.81522,5,177.1048209,0.042857143,0.035714,2.02970451,2.082636081,2.645956454,1.929912791,4.618697512,3.294012346,5.688254277,11.92357309,11.66090202,0,17.0805332158202,266.883331497191,96,0,0.149300156,0
"S01009846","Govan and Linthouse","Glasgow City",1004,682,0.28,282,0.2,136,200,218.589394,227.718942,118.7996244,0.27424094,0.034482759,135.527576,0.74717,5.5,187.5986114,0.037383178,0.045113,2.286160093,1.541943155,1.599727378,2.893167331,3.002117169,5.167865169,5.585922274,6.446015081,9.435930974,0.003355705,52.24633689545,520.381841588148,177,30,0.205336427,0.034802784
"S01009976","Glenwood South","Glasgow City",471,314,0.44,209,0.32,101,300,219.1605772,122.7100988,242.2304098,0.30982906,0.103448276,168.6577546,0.616,5.3157894737,241.8804956,0.101265823,0.018182,4.093346939,2.962454082,2.771642857,2.697827869,3.644913265,1.444307692,8.898739796,8.896867347,10.15037755,0,4.0189489919577,85.3280040755349,119,6,0.242857143,0.012244898
"S01009955","Merrylee and Millbrae","Glasgow City",1072,688,0.15,157,0.09,65,130,113.11213,99.49762137,91.98328716,0.207190161,0.055555556,98.76808139,0.82988,5.4285714286,83.21014672,0.034482759,0.229358,3.766002475,1.917240099,1.987168317,2.098928571,2.989188119,2.060117493,6.464623762,6.286376238,8.396366337,0,38.1800154235981,356.156860294758,120,41,0.126582278,0.043248945
"S01010383","Hillhead","Glasgow City",705,585,0.23,163,0.19,111,200,375.9344492,142.9674348,146.4058179,0.248511905,0.083333333,99.42644898,0.79747,5.5,122.4453806,0.052631579,0.028571,3.512080793,1.733841463,2.545464939,2.291716418,2.400160061,3.766504425,4.738791921,5.386147104,6.633025915,0,29.1373801916933,413.29617293182,244,68,0.37195122,0.103658537
"S01010385","Hillhead","Glasgow City",872,757,0.11,92,0.08,58,100,135.3856698,75.20216412,82.235867,0.188095238,0.125,80.46960382,0.72917,5.3333333333,66.42982866,0.028571429,0.02,4.116439573,0.792680687,1.739650474,1.479594595,1.846638033,3.324,2.123957346,5.881845379,6.905941943,0,12.0568469758731,138.266593760012,221,66,0.261848341,0.078199052
